,tag,vector
10,<http://dbpedia.org/resource/Breathing>,"[-0.08556867 -0.07121203  0.12647101 -0.04519929 -0.00477316 -0.06161981
  0.16103029 -0.19892828  0.03220897 -0.21258758  0.12812836  0.3317937
 -0.07066761 -0.03171832  0.12137125 -0.28011379 -0.1331224  -0.21831839
 -0.31777433  0.28195566 -0.75839227  0.22603245 -0.00707233 -0.22361991
 -0.39976731  0.38151917 -0.26850051  0.29522991 -0.16115166  0.13941886
  0.10460279  0.24226889  0.35920945  0.59570372 -0.10533222  0.19608442
 -0.46960104 -0.0694702  -0.19723721  0.48719904  0.20468184  0.0449849
 -0.24563408  0.22779663  0.12631696  0.50805348  0.08348119 -0.0606408
 -0.18896113  0.03086664  0.17240953  0.2005585  -0.03350684 -0.49394035
 -0.16033581  0.18155421  0.50759405 -0.57868713 -0.12333841 -0.39577636
 -0.23057017  0.268796   -0.31555185 -0.12656035  0.08874971 -0.12350718
  0.38224131  0.00695132 -0.39861894  0.24587153 -0.23639113 -0.0096216
  0.10452336 -0.21202157  0.60516286 -0.21441534  0.24274518  0.05022185
 -0.13230483  0.18174334  0.17602156  0.21897218  0.17737302  0.29011735
 -0.03217557  0.19057901 -0.52584839  0.02433234 -0.23463777  0.41808984
 -0.08248516 -0.21719591  0.14824124  0.22641824  0.34507206 -0.04005981
 -0.06932648 -0.08546765  0.16191949 -0.2068385   0.83640397  0.15845968
  0.39250791  0.14879292 -0.26568645  0.19533877  0.242777   -0.03515555
  0.61013955 -0.06734953  0.05640179  0.22802737 -0.52631736  0.10955568
  0.27381328  0.14894927  0.80365312 -0.1011465   0.32171488  0.00896449
  0.37938553  0.2782512  -0.03361125  0.11875279 -0.20015003  0.59163743
 -0.07373971 -0.2527951   0.00525645 -0.20537406  0.48729661 -0.550515
 -0.36752513  0.03030052 -0.05929005  0.32233673  0.02361961 -0.09475859
  0.96110469 -0.27806231  0.34205484  0.46897823 -0.14415701  0.12790492
 -0.24847485  0.24668044  0.53423709  0.15274498  0.0957865  -0.41850722
  0.23423693  0.82508385 -0.22342156 -0.00711528 -0.50296295 -0.28741127
  0.37881932  0.19152758 -0.29011697 -0.33990678  0.11150787  0.04335892
 -0.32567179 -0.08210517  0.18456674  0.00186369  0.05312636 -0.28718272
  0.22437499  0.33830297  0.03548381  0.20803481  0.80773687 -0.24782695
  0.07414057 -0.24752796 -0.35580885 -0.25407383  0.47059399 -0.17654626
  0.27848136 -0.17621742 -0.35065648 -0.09680123  0.18174489 -0.12340035
  0.64731765 -0.11706565  0.28787336  0.37604719 -0.16149385  0.37036604
 -0.4398959   0.0263191   0.19445537 -0.28712854  0.36487991  0.14934276
 -0.17367826  0.00591545]"
11,<http://dbpedia.org/resource/Venom>,[]
12,<http://dbpedia.org/resource/Fin>,[]
13,<http://dbpedia.org/resource/Leg>,[]
14,<http://dbpedia.org/resource/Tail>,[]
15,<http://dbpedia.org/resource/Domestication>,"[ -2.36906767e-01   6.90702721e-02   1.79378435e-01  -1.60319045e-01
   1.90829888e-01  -5.77640720e-02   4.12090644e-02  -7.92733282e-02
  -5.60733527e-02  -1.77490026e-01   2.50386298e-01   3.78275365e-01
  -1.72285251e-02   3.20938192e-02   5.49858212e-02  -1.27058625e-01
  -2.65494823e-01  -1.95882916e-01  -7.08253384e-01   5.10241151e-01
  -8.75258803e-01   4.82792556e-01  -2.95180887e-01  -5.04034758e-01
  -2.24647686e-01   4.92008090e-01  -3.23468179e-01   2.37657249e-01
  -8.99663940e-02   8.76718238e-02   2.60378569e-01   4.40009832e-01
   7.17040598e-01   2.59320915e-01   6.26193136e-02  -5.03752604e-02
  -1.57178089e-01  -8.16868022e-02  -1.37473196e-01   3.25119227e-01
   1.48144094e-02   2.09110349e-01  -9.69701484e-02   6.44281060e-02
  -6.51542842e-03   3.90851110e-01   8.00896436e-02   7.48534799e-02
  -2.86731273e-01  -4.32513058e-01   5.26726395e-02   1.47875249e-01
  -1.46042615e-01  -5.01648009e-01  -1.10536031e-01   3.46740544e-01
   6.23269439e-01  -5.28347373e-01  -9.39697474e-02  -3.05657268e-01
  -3.42400819e-01   2.40165174e-01  -3.01021695e-01   6.02365434e-02
   1.55838907e-01  -1.77139208e-01   1.29016824e-02   9.86552611e-02
  -4.96052235e-01   2.73957729e-01  -4.09214161e-02  -1.01707332e-01
   1.48075908e-01  -7.88696408e-01   6.09300375e-01  -1.61026224e-01
   1.64204493e-01  -4.15487011e-04  -3.06729645e-01   6.58545569e-02
   3.34812067e-02   3.12774837e-01  -2.75015473e-01   3.80704133e-03
   1.23795606e-01   7.27558509e-03  -3.99977386e-01  -1.48890704e-01
   2.96947747e-01   3.49963278e-01   9.51494649e-02  -1.68500274e-01
  -2.14946926e-01  -9.71529819e-03   3.48362505e-01  -7.16119632e-02
   3.45581584e-02  -5.00468723e-02   4.08058763e-02  -2.27052674e-01
   5.06669581e-01  -1.18937366e-01   2.71524012e-01   7.92775080e-02
  -5.01878679e-01  -5.31546324e-02   1.67968385e-02  -1.76669747e-01
   5.57978868e-01   1.34035423e-01  -5.85053116e-02  -5.28526716e-02
  -3.54838371e-01   3.76985610e-01   3.93132120e-01   6.75103068e-02
   5.82348526e-01  -1.10983849e-01   2.46341482e-01   2.56102495e-02
   4.75908630e-02   5.27309477e-02   6.40403330e-02  -8.04994255e-02
  -3.44353169e-01   1.74487263e-01  -2.42865562e-01  -2.42882714e-01
   1.49919719e-01  -2.20066473e-01   1.63285449e-01  -4.48880762e-01
  -1.21473908e-01   4.61492054e-02  -1.85006425e-01   4.95091021e-01
   1.24091931e-01   4.42132019e-02   1.30681956e+00  -3.22067708e-01
   4.15585041e-01   5.34643114e-01  -3.40593696e-01   5.10482669e-01
  -3.61590236e-01   4.98813301e-01   9.08344686e-01   4.30777460e-01
   1.49587333e-01  -2.93074936e-01   7.07094073e-01   1.15643847e+00
  -3.29141736e-01   7.41508305e-02  -8.86341870e-01  -4.65707004e-01
   2.85527617e-01   3.39381278e-01  -3.46305043e-01  -3.53102714e-01
  -1.80711955e-01  -1.84419975e-01  -4.40597057e-01   1.15999259e-01
   3.36054653e-01   8.03072751e-02  -3.71949375e-02  -2.77651995e-01
  -1.89267963e-01   4.04835224e-01   3.83159161e-01   3.49903166e-01
   7.01568902e-01  -6.91407844e-02   7.82649685e-03  -4.70061779e-01
  -6.36179596e-02  -3.85528803e-01   1.07716107e+00  -3.14528942e-01
   1.99477613e-01  -2.01677799e-01  -3.27033550e-01   1.74581304e-01
   1.60098672e-01  -3.33445817e-01   6.50354087e-01  -1.27827793e-01
   2.91225404e-01   5.24754465e-01  -2.72014588e-01   6.30885422e-01
  -6.38216317e-01   4.57164459e-02   6.96367919e-02  -7.31376708e-01
   2.62060791e-01   2.27273270e-01   1.31755602e-02  -2.72979200e-01]"
16,<http://dbpedia.org/resource/Mammal>,"[ 0.30400842 -0.44722196 -1.04369879 -1.09737158  0.39407778  0.1395714
 -0.64843684  0.44859946  1.02509344 -0.47572616  0.90777606  1.17066157
  0.52153516 -0.64197999  0.45218185  0.43608522 -0.78983539 -1.08250439
 -0.56376332 -0.4159016  -0.18347274  0.06581976  0.08919752 -1.53086841
  0.43506512  0.30041346 -0.77115196 -0.18985325 -0.84660888 -0.11290026
 -0.7608127   0.33656776 -0.53997809 -0.0648566   0.46526098  0.42913619
  0.63368374  0.84207088 -0.2826483   0.06901774  0.3041189  -0.43332234
 -0.68042654  1.2704289  -0.06335953  1.11204147 -0.27886796  0.3510569
 -0.31053919  0.47648865  0.37342542 -0.63647532 -0.38581282 -0.15306991
  1.61144817  0.84110075  0.27409223 -1.21846771 -0.60952258 -0.16480596
 -0.54443997  0.31613639 -0.25652719 -1.46154892 -0.386659    0.54916763
  0.20382567  0.98963588  0.95989126 -0.96503663 -0.92499793  0.06944176
 -0.43179497  0.58903939 -0.40060022 -0.21627764 -0.08476781 -0.8336246
 -0.06370725 -0.43597043  0.31740284 -0.40269479  1.71273601  0.03972622
  0.23867485  0.63252169  0.01206726 -0.36543432 -0.54243141  0.19103703
 -1.05784726 -0.68317717 -0.20465098 -0.08616778 -1.0050633   0.30441362
 -0.59454638 -0.30599266  0.48379245  0.11330725 -0.09211113 -0.26473391
 -0.07036018  1.15508044 -0.48529336  0.11178025  0.56125885 -0.10826838
 -0.24892344 -0.29477265  0.72156805 -0.26602879  0.0189371   0.5858072
 -0.0312238   0.51251698  1.23784113 -1.46043348  0.35975975 -1.08881915
  0.1257498   0.89733756 -0.01650517  0.55480647 -0.14901221 -0.24559523
  0.53045273  0.10951618  0.54257113  0.01444365  0.77649939  0.11368705
  0.02531846  0.11643431 -0.4071981  -0.2500222   0.12541071 -0.46770313
  1.22792542 -0.5883128   0.12512437  1.26065743 -0.60203832  0.75227511
  0.6484164   1.17931306  0.02552865  0.28700823 -0.40412769 -0.09631102
  1.04727995  0.20726523 -0.41133201 -0.18966882  0.00607848  0.027879
  0.04341007  0.49097598 -0.68298501  0.27529711 -0.24054718 -0.32721114
 -0.54814464 -0.35452315 -0.53235191  0.35914245 -0.56031156  0.69352204
 -0.44630381  0.01065541 -0.09439667  1.31255662  2.03973079  0.36537987
  0.27698097  0.16871399  0.65329409 -1.12865734  0.40381685 -0.33117649
 -0.14823262  0.2456042  -0.6910044  -0.33334109  0.15659703  0.54908162
  1.96958292 -0.39669114  1.16627705  0.44626695  0.0456602   0.54762536
  0.32144469 -0.01322674 -0.47045764 -0.95032918  0.16702771 -0.61972344
 -0.6477133   0.28886527]"
17,<http://dbpedia.org/resource/Bird>,"[  3.33262473e-01  -3.57559413e-01  -6.39899731e-01  -1.46454227e+00
   1.31571782e+00   7.93388307e-01  -7.28761196e-01   5.62862277e-01
   3.40514094e-01  -7.27257788e-01   5.75270772e-01   1.01494603e-02
   1.08393526e+00  -5.72322190e-01   5.40506065e-01   1.65758407e+00
  -7.74887621e-01  -6.85599625e-01  -7.92360246e-01  -5.84528208e-01
  -6.25087917e-01  -4.15903896e-01   5.34753263e-01  -2.64084160e-01
  -3.67930591e-01   1.44623369e-01  -8.19810092e-01  -1.01669622e-03
  -7.22147405e-01  -1.25635314e+00  -5.27699888e-01   6.42290056e-01
  -5.50637841e-01  -1.64288008e+00   7.08571747e-02   4.17932540e-01
   6.66591644e-01   5.30724347e-01   2.98884183e-01   4.37589616e-01
   1.21847403e+00   1.49095606e-03  -1.26984149e-01   5.81629753e-01
  -5.01840055e-01   1.66157961e+00  -1.30473644e-01   8.36690664e-02
   4.37452167e-01   3.98489565e-01  -4.52313393e-01  -5.23386657e-01
  -1.48151505e+00  -8.63898098e-01   7.39579380e-01   8.85967091e-02
   3.75347376e-01  -1.11187375e+00  -2.35054538e-01  -4.94718373e-01
  -4.22579974e-01   9.87025499e-01  -9.13930774e-01  -1.20376670e+00
  -2.67411143e-01  -4.95049268e-01  -9.58036333e-02   3.44961435e-01
   1.23428106e+00  -4.16722536e-01  -1.01704407e+00  -3.50194752e-01
  -6.04535341e-01   8.72803092e-01   6.89131200e-01  -4.26694006e-02
  -9.57779065e-02   1.61213893e-02  -4.70071435e-01   2.14138761e-01
   2.24349368e-02   5.56234002e-01   8.48558187e-01   4.39050913e-01
   8.33607674e-01  -1.16998672e-01  -4.46325541e-01  -8.26095343e-02
  -5.00004649e-01  -4.91630703e-01  -7.73901582e-01  -3.72972012e-01
  -4.20916416e-02   3.28865379e-01  -4.51539993e-01   6.96784079e-01
  -4.39516038e-01  -3.94657314e-01  -3.42148930e-01  -2.51156807e-01
  -4.11442935e-01  -2.88733870e-01  -6.07990861e-01   9.86160874e-01
  -4.56884831e-01   7.19039440e-01   1.22637793e-01   2.78914571e-01
   6.45389199e-01  -1.39258957e+00   6.87467754e-01   7.13161767e-01
  -1.35794237e-01   2.66977668e-01   3.66269648e-01   4.53937709e-01
   1.63277590e+00  -9.52092648e-01   1.84051991e-01   1.52497828e-01
  -1.24834314e-01   2.73346633e-01  -2.69180000e-01  -8.19410160e-02
  -1.05271854e-01  -5.97655594e-01   2.03089610e-01  -1.06953323e+00
   7.84710199e-02   7.44017005e-01   7.44462490e-01  -1.98653072e-01
  -1.35282481e+00  -6.84434652e-01  -2.60157228e-01  -6.60506636e-02
   4.88939464e-01  -3.58135521e-01   1.28087628e+00  -5.36880612e-01
  -2.69329101e-01   1.77818370e+00  -5.36582708e-01   1.30589500e-01
  -4.12585050e-01   8.49950373e-01   1.34367073e+00   7.56922305e-01
  -4.14596409e-01  -4.77061301e-01   7.93976933e-02   2.80936122e-01
   6.31488681e-01   7.64105916e-02  -5.27660370e-01   4.17079389e-01
  -5.39664865e-01   5.29914320e-01   1.80048093e-01   6.86618209e-01
  -1.05344199e-01   1.28740277e-02   2.30590448e-01  -5.14807105e-01
  -9.63430405e-01   3.92310143e-01  -8.73316765e-01   3.31863284e-01
  -3.60588491e-01   1.14548171e+00  -1.05595604e-01   8.26546967e-01
   8.15308094e-01  -2.27679819e-01   3.34838510e-01   9.69974160e-01
  -1.50170371e-01  -1.00395429e+00   4.45794195e-01  -2.77584586e-02
   1.77368075e-01  -5.98537743e-01  -8.97484049e-02   3.31660472e-02
  -2.63140976e-01   4.14824998e-03   1.61567605e+00   6.05051517e-02
   1.56503403e+00   7.16946065e-01  -5.72023749e-01   5.31327069e-01
  -3.57887536e-01  -4.95983660e-01  -7.04113483e-01  -8.70320976e-01
   2.39757940e-01  -1.20365150e-01  -3.26873481e-01  -4.25494075e-01]"
18,<http://dbpedia.org/resource/Reptile>,"[ 0.4082821  -0.39531356  0.1647097  -0.94342953  0.63174391  0.254242
 -0.64457673 -0.33632869  0.65676361 -0.27341124  0.852166    1.05786669
  0.95578003 -0.43265411 -0.02632672  0.52811116 -0.93900651 -1.24337363
 -1.0430069  -0.38720408  0.50578099 -0.74739897  0.45688134 -0.56590152
  0.40000501  0.54086977 -0.7195583   0.06412666 -0.83407485 -0.51112318
 -0.69744796  0.27504894 -1.36815476 -0.27148011 -0.20558621 -0.60001439
  1.10747862  1.06045234 -0.05715369 -0.29477832  0.70936376 -0.62176669
 -0.05659993  1.34615099 -0.15144691  0.77220726 -1.52842915  0.3094992
 -0.44446394  0.22952265  0.1965663  -0.13102184 -0.95474684 -0.25672111
  1.31525218  0.47109804  0.50515825 -1.22948694  0.04658439 -0.41984949
 -0.36640087  0.74793416 -0.81791157 -0.68459111 -0.07858794 -0.28840035
  0.48747301  1.11737227  0.88566619 -1.30342174 -1.57182038 -0.05817082
  0.11024256  1.3073777  -0.11502858  0.35859963  0.08834597 -0.95479429
 -1.15767229  0.16178077  1.32069325  0.58886683  0.8783288   0.56136847
 -0.14236888 -0.00756387  0.33556396 -0.1692654  -0.77908581 -0.4252913
 -0.33439195 -0.53429651  0.17198431 -0.175246    0.04080427  0.05168021
 -1.06342268 -0.63740444 -0.70548797 -0.28337315 -0.55233085  0.09937327
  0.45884275  0.71642083 -0.14114742 -0.0615124   0.18746528  0.2277818
  0.39876577 -1.11954427  1.05091846 -0.92717063 -0.31833503  0.11935997
  0.20087637 -0.0917341   1.29580843 -0.67693871  0.26190609 -0.60087508
  0.02623219  0.93592405 -0.03772823  0.38882461  0.25191212 -0.14708886
  0.19369999 -0.96480244  0.5359273  -0.47477651  0.18583734  0.49650019
 -0.13140173 -0.23964629  0.59327275  0.33621502  0.20028998 -0.82817954
  0.88248563 -0.1656526   0.76513267  1.30951405 -0.21783651  0.38945255
 -0.68606651  1.06613469  0.42097768 -0.01680446 -0.49037176  0.3514432
  1.35404897  0.2168583  -0.57276517  0.6314919   0.48982343 -0.4418959
 -0.59418827  0.4866536  -0.32863927  0.17515205  0.32715291  0.02099624
 -0.73888987  0.25109369 -0.01905855  0.0162513   0.18552656  0.25582311
 -0.21453618  0.62747592  0.09889452  0.60823756  1.14721024  0.36496681
 -0.36262169 -0.14919221 -0.16297002 -1.10904455  0.21486899 -0.19166201
 -0.00797557  0.56142795 -0.52591038  0.27455059  0.38221389  0.26561597
  1.03312218 -0.36027107  0.85897851  0.72891986 -0.17658129  0.81479168
 -0.38273266 -0.41284883  0.13540594 -1.30168724  0.5767644  -0.25878349
  0.26643279  0.23974349]"
19,<http://dbpedia.org/resource/Insect>,"[ 0.57545722 -0.57880217  0.80192888  0.36821833  0.71295023 -1.013731
 -0.52977252 -0.24252363  0.11425869 -0.29363358 -0.72786993  2.43543482
 -0.44455615 -1.29516149 -0.58241791  0.60788178 -1.45621908 -1.14416242
  0.13922021 -0.32333109 -0.16658206 -1.05545962  0.52392101 -0.46928751
  0.59129798  1.13348973 -1.72417653 -1.01151133 -0.42716089 -1.60670006
 -1.24199855  0.69790363 -0.34189785 -1.09323335  0.14925562  0.10846785
 -0.88330555 -0.48680353 -0.25159407  0.35999438  2.15051603 -0.70833522
  0.21281536  1.13568377  0.24579878  2.74475503 -1.46213675  1.19332695
 -0.13004199  0.15320978 -0.22330882 -0.66345447 -0.80419922 -1.98641288
  1.16784298  1.38480484 -1.51436579 -0.63808614 -1.69223678  0.50383538
 -0.21832174  0.54419637 -0.37843955 -0.56178391  1.01733112 -0.12613249
 -0.8068338   2.20483899  2.34164333 -0.98444468 -0.1809752   1.506791
  0.07364656  0.96506375 -0.96517241 -1.3054868  -2.12973356  0.10622131
 -1.78715885  1.19639874  0.88488048  0.84853846  1.93353057  0.46128982
 -1.40711951  0.7590875   0.05028815 -0.12768035 -0.67384052  0.70881683
 -1.45745897 -0.76013744 -1.1773535  -0.46361509  1.31180358 -0.9629842
 -0.6247859  -2.17658114 -0.16230015 -0.21644627 -0.00397571  0.9406026
  0.45788157  0.50108713  1.18829536 -0.81650603 -0.73923498  0.69614327
  0.76692414 -0.67177302  1.22822428  0.94968683 -0.44411013 -0.25898233
  1.08997059 -0.19809692  1.64534485 -1.28880179  3.54466629  0.99285018
  0.29790187 -0.63195527 -0.42659152  0.89766735  1.01849616  0.16930999
  0.97080874 -2.64117622  1.02130914  1.04063833  0.20718883 -0.27050555
  0.52141476 -0.88717139 -0.44768152  1.308833    0.51711005 -0.34940839
  0.77690333 -0.37083262  0.91032404  0.81846243 -0.13409422 -1.81211841
  0.76747543 -0.36246091  0.57361841  1.24020696 -1.00807464 -0.80524307
  0.40376428 -0.49187008  0.55620736  0.17016834  0.07985365  1.41943491
  0.35327268  0.71385342  0.53516203  0.61843765  0.05674401  1.32991421
 -1.4129889  -0.79754847  0.61948895 -0.75656962 -0.33584914 -0.27168971
  1.02074564  0.0524784   1.35872817  0.95805007  2.2390368   0.55224627
 -0.63216084  0.23527393  0.96664208 -1.54235077  0.41348389  0.14791329
  0.04261719  0.7900427  -0.40553123  0.96946597  0.08137481  1.30965865
  2.97778368  0.2855373  -0.79820925  2.97569871 -0.01236363 -0.5452323
  1.52458107 -0.29409713  0.10202112 -1.10934699 -0.21381879  0.15038751
  0.24573053  0.02524586]"
20,<http://dbpedia.org/resource/Amphibian>,"[  6.32371128e-01  -2.00815469e-01   2.03753650e-01  -1.03466380e+00
   7.29143143e-01   4.21481073e-01  -8.76181364e-01   8.35144147e-02
  -4.37919974e-01  -2.34431401e-01   1.25183129e+00   1.09056973e+00
   6.65051103e-01  -2.53334224e-01   3.68539840e-01   1.50212491e+00
  -9.06207681e-01  -6.44939840e-01  -9.31560040e-01  -4.04455602e-01
  -3.87355298e-01   2.66540855e-01   4.10518646e-01  -2.29908988e-01
  -1.82972923e-01  -2.73074150e-01  -6.47203028e-01   5.30523956e-01
  -5.61649919e-01  -1.29710042e+00   1.19759053e-01   3.16532046e-01
  -7.75008202e-02  -7.23166227e-01  -9.74481180e-03  -3.00717056e-01
   3.74962330e-01   5.00532806e-01   1.01687759e-01  -4.22071487e-01
   7.19942749e-01   2.24782258e-01   4.39523757e-02  -5.77988215e-02
  -3.31404179e-01  -1.71417311e-01  -3.85238230e-01   3.78462434e-01
   9.88766626e-02   5.02002656e-01  -1.37201950e-01   2.66973108e-01
  -5.81499398e-01  -8.58832359e-01   8.22669268e-01   5.32465219e-01
   2.20212728e-01  -3.51694435e-01  -7.21524596e-01  -6.99677587e-01
  -6.28124774e-01   3.42419028e-01  -2.01155066e-01  -4.21003163e-01
  -1.33195639e-01  -3.62299889e-01  -7.73406625e-01   2.92574555e-01
   3.13394487e-01  -1.51366210e+00  -8.05754364e-01   8.18814486e-02
  -7.25468636e-01   7.90094495e-01   1.08937100e-02   3.94271128e-02
  -1.58950016e-01  -1.12636939e-01  -6.52265787e-01  -4.46722627e-01
   8.44212174e-01  -1.91722527e-01   7.87633896e-01   6.73107266e-01
  -1.92672253e-01  -4.29540396e-01   8.20437893e-02  -5.48724011e-02
   5.69069862e-01  -1.33885160e-01   3.65581885e-02  -4.84271020e-01
   7.09822252e-02  -4.69319165e-01   9.86810401e-02  -3.58931929e-01
  -6.77741945e-01  -6.04000390e-01  -9.61876273e-01  -2.52915740e-01
  -4.50165123e-01  -2.17370149e-02   2.23918587e-01  -3.54516327e-01
   1.27053102e-02   7.99803734e-01   6.81802034e-01  -1.06705703e-01
   8.51908386e-01  -3.15605074e-01   8.80275145e-02   1.93517238e-01
   1.05566300e-01  -7.14798629e-01  -4.25320715e-01   1.98951662e-01
   1.69145703e+00  -1.10855114e+00   6.25481606e-01  -1.95744425e-01
  -2.57691622e-01   1.08514011e+00  -8.21429014e-01   1.18410480e+00
  -7.42244303e-01   5.43992043e-01   1.74171090e-01  -5.72066009e-01
  -1.30478844e-01  -3.84356201e-01   8.47226381e-01   6.85587287e-01
  -9.76705968e-01  -4.89980727e-01  -1.05911270e-01   6.08673785e-03
   4.25058067e-01  -6.62189484e-01   1.31495929e+00  -4.54090446e-01
   2.55466282e-01   1.63076643e-03  -7.08288670e-01   8.90282393e-01
   5.24128377e-01   7.74265468e-01   1.07830298e+00  -1.98997438e-01
   2.13989705e-01   2.95871824e-01   5.59872150e-01   1.34870589e-01
  -1.21983290e+00  -4.47127104e-01  -3.03511351e-01   5.33708334e-01
  -3.74509841e-01   2.60299481e-02  -3.63882214e-01  -1.66224882e-01
   6.01625502e-01   2.22818345e-01  -8.34820032e-01   2.76227653e-01
   8.31428170e-02   5.67549229e-01  -5.79765201e-01   5.38850546e-01
  -5.51699042e-01   6.43921852e-01  -6.34211004e-01   8.64804506e-01
   1.40788063e-01  -4.78091210e-01  -1.11594766e-01   4.07129452e-02
  -2.17288733e-01  -9.69199955e-01   8.02695394e-01  -9.08132643e-02
  -5.05690813e-01  -3.30757052e-01   1.29186902e-02  -7.06709504e-01
   2.37368375e-01  -4.28887695e-01   1.41656053e+00  -2.72572458e-01
   5.71477056e-01   1.07991958e+00  -6.22537315e-01   1.63942695e-01
  -5.62072337e-01  -3.42174969e-03   2.46021643e-01  -1.47935390e+00
   1.18241775e+00  -2.08857313e-01  -4.05873090e-01  -8.91473815e-02]"
21,<http://dbpedia.org/resource/Fish>,"[ -1.92766100e-01  -7.54575133e-02   8.15401077e-02  -1.53171241e-01
  -1.82555914e-01  -2.10739836e-01  -9.36589837e-02   5.89456186e-02
  -1.42643869e-01  -1.70563906e-01   5.53177416e-01   4.47460592e-01
  -9.83190071e-03   4.87580486e-02   7.79955164e-02   1.21203326e-01
  -8.34784508e-02  -1.59021094e-01  -5.43511868e-01   3.88960481e-01
  -6.03381038e-01   1.52307898e-01  -1.22353569e-01  -6.46644533e-01
  -9.55478251e-02   1.87806845e-01  -5.11632442e-01  -2.61093285e-02
   1.04255036e-01  -5.88792041e-02   1.03843175e-01   5.07520676e-01
   3.60791326e-01   1.06024899e-01   1.34626210e-01  -2.09325105e-01
  -1.08076893e-01   1.07490808e-01  -9.85278860e-02   1.94786489e-01
   3.24852346e-03   1.09902427e-01  -2.36622095e-01   2.78745383e-01
   4.05587815e-03   3.78282487e-01   2.32970536e-01   5.10819294e-02
  -1.44630656e-01   7.26315081e-02   4.90074651e-03   1.53825149e-01
  -1.34304762e-01  -5.53939581e-01  -3.17537993e-01   3.10149938e-01
   4.00814861e-01  -3.86903554e-01   6.64775297e-02  -3.13625872e-01
  -3.63894463e-01   2.27135777e-01  -2.97847152e-01  -2.74557263e-01
   1.87670380e-01   2.06027459e-02  -5.50669245e-02  -2.75549591e-02
  -2.85717607e-01   1.27729774e-01  -2.43978530e-01  -2.00468689e-01
   2.71767765e-01  -4.80014592e-01   5.13879061e-01  -6.22500330e-02
   9.29676890e-02  -2.37795785e-02  -7.13664591e-02  -1.10761993e-01
   9.91382599e-02   1.82850391e-01   1.02265067e-01   4.63932693e-01
  -8.45790952e-02  -1.75973196e-02  -4.77431566e-01   2.04971209e-01
   1.55525610e-01   2.07918376e-01   7.31879398e-02  -1.70699090e-01
  -1.97630852e-01   1.17795572e-01   2.04569444e-01  -7.70977288e-02
  -2.64961123e-01  -1.90647975e-01   4.64428030e-02  -3.67208868e-01
   8.70521441e-02  -1.75429985e-01   2.67678857e-01   3.16848725e-01
  -3.16193938e-01   2.83186018e-01   3.89836691e-02  -2.17147842e-01
   3.17951083e-01   2.59968024e-02   3.51962663e-05  -9.15817842e-02
  -3.85897994e-01   4.38208520e-01   4.29547764e-02  -2.52153873e-02
   6.67963028e-01  -1.85789526e-01   8.84705409e-02   7.23482966e-02
   2.05199465e-01  -2.46152803e-02  -3.81903023e-01  -3.40045959e-01
  -3.47158343e-01   9.90322307e-02  -2.14560643e-01  -3.66421752e-02
   2.66477942e-01  -2.29689255e-01   5.45075350e-02  -3.92568529e-01
  -1.04286462e-01   1.68521836e-01  -2.92386804e-02  -9.66128111e-02
   3.48291755e-01  -8.20270330e-02   1.07238853e+00  -3.13613623e-01
   3.44689310e-01   7.13188529e-01  -4.30142909e-01   1.69939436e-02
  -2.11448610e-01   2.49233842e-01   7.06919611e-01   3.03650200e-01
   2.33563155e-01  -2.07959548e-01   6.17761016e-01   8.61087263e-01
  -3.03639323e-01  -7.83719569e-02  -5.91426075e-01  -5.32762647e-01
   3.75985563e-01   1.20349646e-01  -9.43565294e-02  -2.59477496e-01
  -2.31982723e-01   1.92707088e-02  -4.27158028e-01  -3.36682908e-02
   3.04516166e-01   2.32706383e-01   1.01063997e-01  -2.60860920e-01
  -9.45476592e-02   1.32436246e-01   2.55890667e-01   4.16733176e-01
   5.11266649e-01   6.87961876e-02  -1.11880690e-01  -5.15280724e-01
  -1.60532191e-01  -3.62599880e-01   6.47443652e-01  -4.38878924e-01
   1.76650599e-01  -1.38598025e-01  -6.88887715e-01  -1.18694074e-01
   5.36772199e-02   7.31148049e-02   6.35092199e-01  -3.01421601e-02
   1.95028454e-01   3.95651937e-01  -2.87527710e-01   4.86736685e-01
  -3.63018811e-01   1.49580715e-02  -6.43926784e-02  -4.27763999e-01
   2.61061072e-01   2.79320300e-01  -2.46218935e-01  -3.01789582e-01]"
